,user_id,item_id,rating,timestamp
280,264,813,4,886122952
284,269,367,3,891450023
285,59,468,3,888205855
286,286,143,4,889651549
287,193,96,1,889124507
288,113,595,5,875936424
291,275,98,4,875155140
292,189,520,5,893265380
293,219,82,1,889452455
294,218,209,5,877488546
295,123,427,3,879873020
296,119,222,5,874775311
299,302,322,2,879436875
300,279,501,3,875308843
305,1,189,3,888732928
307,23,385,4,874786462
309,296,705,5,884197193
311,33,872,3,891964230
315,154,357,4,879138713
316,77,484,5,884733766
317,296,508,5,884196584
318,302,303,2,879436785
319,244,673,3,880606667
323,270,452,4,876956264
325,187,64,5,879465631
327,170,749,5,887646170
328,101,829,3,877136138
333,1,33,4,878542699
334,1,160,4,875072547
336,54,595,3,880937813
337,94,343,4,891725009
339,23,323,2,874784266
342,112,903,1,892440172
345,218,430,3,877488316
348,133,751,3,890588547
349,215,212,2,891435680
350,69,256,5,882126156
353,104,984,1,888442575
354,63,1067,3,875747514
357,240,879,3,885775745
358,286,237,2,875806800
359,294,271,5,889241426
361,18,26,4,880129731
365,191,302,4,891560253
366,59,951,3,888206409
369,61,678,3,892302309
370,271,199,4,885848448
371,271,709,3,885849325
372,142,169,5,888640356
373,275,597,3,876197678
376,207,258,4,877879172
377,272,1393,2,879454663
378,177,333,4,880130397
379,207,1115,2,879664906
381,271,378,4,885849447
384,94,1224,3,891722802
387,203,321,3,880433418
388,191,286,4,891560842
391,197,96,5,891409839
393,194,66,3,879527264
394,234,206,4,892334543
397,269,522,5,891447773
398,94,265,4,891721889
400,272,12,5,879455254
401,121,291,3,891390477
402,296,20,5,884196921
403,134,286,3,891732334
404,180,462,5,877544218
405,234,612,3,892079140
406,104,117,2,888465972
407,38,758,1,892434626
408,269,845,1,891456255
410,234,1451,3,892078343
411,275,405,2,876197645
412,52,250,3,882922661
413,102,823,3,888801465
415,178,731,4,882827532
417,256,781,5,882165296
419,244,186,3,880605697
420,279,1181,4,875314001
422,83,78,2,880309089
438,59,715,5,888205921
439,5,17,4,875636198
440,125,163,5,879454956
442,114,505,3,881260203
444,23,196,2,874786926
449,250,238,4,878089963
453,119,407,3,887038665
454,287,1,5,875334088
457,203,471,4,880434463
461,286,288,5,875806672
462,117,1047,2,881009697
463,99,111,1,885678886
464,11,558,3,891904214
465,65,47,2,879216672
467,269,217,2,891451610
469,250,596,5,878089921
470,137,144,5,881433689
472,257,137,4,882049932
473,111,328,4,891679939
474,91,480,4,891438875
475,215,211,4,891436202
477,189,1060,5,893264301
478,1,20,4,887431883
481,187,210,4,879465242
483,214,568,4,892668197
485,285,191,4,890595859
487,96,156,4,884402860
489,115,1067,4,881171009
491,116,350,3,886977926
492,73,480,4,888625753
493,269,246,5,891457067
495,70,431,3,884150257
498,25,357,4,885852757
499,290,50,5,880473582
500,189,526,4,893266205
502,264,294,3,886121516
504,187,135,4,879465653
506,63,289,2,875746985
509,235,185,4,889655435
511,246,94,2,884923505
512,54,742,5,880934806
513,63,762,3,875747688
514,11,732,3,891904596
516,8,550,3,879362356
517,307,174,4,879283480
519,256,849,2,882164603
521,164,406,2,889402389
522,117,150,4,880125101
524,193,869,3,889127811
525,94,184,2,891720862
526,281,338,2,881200457
529,94,720,1,891723593
530,182,845,3,885613067
531,129,873,1,883245452
535,45,25,4,881014015
536,193,879,3,889123257
539,234,187,4,892079140
543,264,721,5,886123656
545,197,346,3,891409070
549,131,126,4,883681514
553,230,680,4,880484286
555,192,1061,4,881368891
556,234,448,3,892335501
558,193,941,4,889124890
560,126,905,2,887855283
561,244,265,4,880606634
563,157,25,3,886890787
565,119,382,5,874781742
567,231,181,4,888605273
568,280,508,3,891700453
569,288,132,3,886374129
570,279,1497,2,890780576
575,59,742,3,888203053
576,94,744,4,891721462
578,26,1015,3,891352136
579,56,121,5,892679480
584,152,301,3,880147407
585,178,845,4,882824291
586,217,597,4,889070087
587,79,303,4,891271203
588,138,484,4,879024127
590,75,284,2,884050393
591,269,198,4,891447062
592,307,94,3,877122695
594,121,740,3,891390544
595,269,22,1,891448072
597,230,742,5,880485043
598,269,507,4,891448800
600,245,1028,5,888513447
601,56,546,3,892679460
603,271,1028,2,885848102
605,69,240,3,882126156
607,22,376,3,878887112
608,294,931,3,889242857
610,279,399,4,875313859
611,269,234,1,891449406
612,6,98,5,883600680
613,243,1039,4,879988184
615,282,325,1,881703044
616,78,323,1,879633567
617,118,200,5,875384647
618,283,1114,5,879297545
619,171,292,4,891034835
620,70,217,4,884151119
622,245,181,4,888513664
623,107,333,3,891264267
624,246,561,1,884923445
627,244,17,2,880607205
628,189,56,5,893265263
629,226,242,5,883888671
632,214,478,4,891544052
633,306,235,4,876504354
635,280,631,5,891700751
637,56,71,4,892683275
639,1,202,5,875072442
641,173,289,4,877556988
642,15,749,1,879455311
643,185,23,4,883524249
644,280,540,3,891702304
645,244,381,4,880604077
646,150,293,4,878746946
648,178,317,4,882826915
649,178,742,3,882823833
651,234,1462,3,892333865
652,97,222,5,884238887
654,117,268,5,880124306
655,269,705,2,891448850
657,264,655,4,886123530
658,207,13,3,875506839
660,246,409,2,884923372
662,101,304,3,877135677
663,256,127,4,882164406
669,246,665,4,884922831
670,274,845,5,878945579
671,188,692,5,875072583
672,18,86,4,880129731
673,5,439,1,878844423
675,193,407,4,889127921
678,48,609,4,879434819
679,5,225,2,875635723
680,22,128,5,878887983
682,8,22,5,879362183
687,1,171,5,889751711
689,165,216,4,879525778
693,234,626,4,892336358
694,244,707,4,880606243
696,208,216,5,883108324
698,134,323,4,891732335
699,279,586,4,892864663
700,2,292,4,888550774
701,288,593,2,886892127
703,286,153,5,877531406
704,205,304,3,888284313
705,22,80,4,878887227
706,234,318,4,892078890
707,223,328,3,891548959
708,15,25,3,879456204
710,94,1220,3,891722678
711,274,405,4,878945840
715,164,620,3,889402298
716,290,161,4,880474293
719,56,449,5,892679308
720,248,234,4,884534968
721,234,10,3,891227851
722,280,1049,2,891702486
725,192,948,3,881368302
726,122,509,4,879270511
735,93,820,3,888705966
736,159,1028,5,880557539
742,217,2,3,889069782
743,83,660,4,880308256
744,189,20,5,893264466
746,146,1022,5,891458193
748,126,294,3,887855087
750,125,80,4,892838865
753,253,259,2,891628883
755,77,518,4,884753202
759,234,81,3,892334680
760,29,245,3,882820803
763,156,661,4,888185947
764,232,52,5,888550130
765,168,866,5,884287927
766,37,288,4,880915258
767,141,245,3,884584426
768,235,230,4,889655162
769,102,70,3,888803537
770,77,172,3,884752562
772,186,566,5,879023663
774,118,774,5,875385198
779,178,433,4,882827834
781,77,474,5,884732407
783,56,1047,4,892911290
784,197,688,1,891409564
785,286,99,4,878141681
790,272,317,4,879454977
792,66,877,1,883601089
793,207,318,5,877124871
794,234,487,3,892079237
797,195,1052,1,877835102
799,306,287,4,876504442
800,194,172,3,879521474
801,94,62,3,891722933
802,167,659,4,892738277
803,108,100,4,879879720
804,230,304,5,880484286
806,54,302,4,880928519
809,286,357,4,877531537
810,14,269,4,892242403
814,244,550,1,880602264
816,65,806,4,879216529
817,37,540,2,880916070
819,244,183,4,880606043
820,1,265,4,878542441
821,270,25,5,876954456
823,94,572,3,891723883
824,286,746,4,877533058
829,178,385,4,882826982
830,194,23,4,879522819
832,188,143,5,875072674
835,207,845,3,881681663
836,161,48,1,891170745
838,47,324,3,879439078
840,191,751,3,891560753
842,59,92,5,888204997
843,69,268,5,882027109
847,194,152,3,879549996
849,113,126,5,875076827
850,173,328,5,877557028
853,59,323,4,888206809
857,79,50,4,891271545
858,235,70,5,889655619
859,125,190,5,892836309
860,284,322,3,885329671
863,255,1034,1,883217030
864,104,301,2,888442275
866,6,463,4,883601713
867,279,122,1,875297433
868,286,298,4,875807004
875,230,1444,2,880485726
876,244,310,3,880601905
877,6,301,2,883600406
878,36,748,4,882157285
879,256,443,3,882164727
880,102,515,1,888801316
881,104,285,4,888465201
883,111,301,4,891680028
884,18,408,5,880129628
885,25,222,4,885852817
887,270,98,5,876955868
888,68,237,5,876974133
889,83,215,4,880307940
890,6,258,2,883268278
891,89,216,5,879459859
895,286,175,5,877532470
896,279,1428,3,888465209
897,256,86,5,882165103
899,140,332,3,879013617
900,190,977,2,891042938
901,11,227,3,891905896
903,150,181,5,878746685
904,126,245,3,887854726
905,20,208,2,879669401
912,223,11,3,891550649
913,215,421,4,891435704
914,218,208,3,877488366
916,275,186,3,880314383
917,68,742,1,876974198
920,195,273,4,878019342
922,5,110,1,875636493
923,99,1016,5,885678724
924,2,251,5,888552084
928,83,281,5,880307072
932,287,926,4,875334340
933,1,155,2,878542201
934,234,632,2,892079538
936,24,64,5,875322758
939,161,318,3,891170824
940,196,393,4,881251863
941,56,91,4,892683275
944,256,761,4,882164644
945,226,56,4,883889102
946,279,741,5,875296891
949,180,202,3,877128388
950,203,93,4,880434940
952,288,305,4,886372527
953,84,742,3,883450643
955,17,13,3,885272654
957,148,1,4,877019411
958,197,347,4,891409070
960,279,982,3,875298314
962,185,287,5,883526288
965,186,250,1,879023607
966,73,206,3,888625754
967,104,756,2,888465739
968,94,216,3,885870665
970,197,511,5,891409839
971,280,1,4,891700426
972,1,117,3,874965739
978,6,69,3,883601277
979,233,375,4,876374419
983,99,873,1,885678436
987,214,131,3,891544465
988,296,228,4,884197264
990,279,725,4,875314144
991,217,182,2,889070109
995,194,77,3,879527421
996,208,663,5,883108476
998,230,172,4,880484523
999,59,485,2,888204466
1001,70,1133,3,884151344
1004,65,125,4,879217509
1008,100,354,2,891375260
1009,283,432,5,879297965
1010,275,418,3,875154718
1012,195,751,4,883295500
1014,269,252,1,891456350
1015,286,73,5,877532965
1017,56,222,5,892679439
1020,96,87,4,884403531
1023,94,860,2,891723706
1024,84,121,4,883452307
1025,275,265,4,880314031
1026,135,1046,3,879858003
1028,125,382,1,892836623
1029,70,399,4,884068521
1032,152,685,5,880149074
1033,244,172,4,880605665
1034,275,1091,2,875154535
1035,53,281,4,879443288
1037,244,790,4,880608037
1038,26,125,4,891371676
1040,124,496,1,890286933
1041,24,191,5,875323003
1042,271,65,3,885849419
1043,307,634,3,879283385
1044,294,1245,3,877819265
1045,234,241,2,892335042
1046,25,501,3,885852301
1049,75,240,1,884050661
1051,207,68,2,877125350
1052,2,50,5,888552084
1055,188,443,4,875074329
1059,83,385,4,887665549
1062,207,107,3,876198301
1063,185,216,4,883526268
1064,14,213,5,890881557
1065,149,319,2,883512658
1066,57,79,5,883698495
1067,230,963,5,880484370
1068,176,875,4,886047442
1069,253,97,4,891628501
1070,284,269,4,885328991
1071,106,526,4,881452685
1072,121,180,3,891388286
1075,84,1033,4,883452711
1077,207,58,3,875991047
1078,194,187,4,879520813
1080,283,845,4,879297442
1083,78,255,4,879633745
1084,11,425,4,891904300
1086,193,1078,4,889126943
1089,250,204,2,878091682
1090,8,50,5,879362124
1091,186,148,4,891719774
1092,312,692,4,891699426
1093,91,683,3,891438351
1094,5,454,1,875721432
1096,175,127,5,877107640
1100,83,210,5,880307751
1101,102,524,3,888803537
1102,153,174,1,881371140
1106,207,554,2,877822854
1108,286,44,3,877532173
1109,279,168,5,875296435
1113,83,97,4,880308690
1114,63,100,5,875747319
1121,274,50,5,878944679
1122,104,299,3,888442436
1123,94,792,4,885873006
1126,248,589,4,884534968
1127,18,950,3,880130764
1128,217,27,1,889070011
1131,296,222,5,884196640
1133,196,381,4,881251728
1134,69,427,3,882145465
1136,256,472,4,882152471
1140,286,85,5,877533224
1141,172,220,4,875537441
1143,190,974,2,891625949
1146,59,235,1,888203658
1149,220,298,4,881198966
1151,285,269,4,890595313
1152,207,65,3,878104594
1154,220,333,3,881197771
1158,143,682,3,888407741
1159,75,237,2,884050309
1160,199,221,4,883782854
1161,223,1150,2,891549841
1167,1,47,4,875072125
1168,164,281,4,889401906
1169,96,673,4,884402860
1172,233,177,4,877661496
1173,6,517,4,883602212
1174,202,283,3,879727153
1175,214,117,4,891543241
1177,277,257,3,879543487
1178,194,212,1,879524216
1180,25,257,4,885853415
1181,6,23,4,883601365
1182,38,573,1,892433660
1184,22,241,3,878888025
1187,66,181,5,883601425
1191,206,302,5,888180227
1193,76,61,4,875028123
1195,314,28,5,877888346
1200,270,558,5,876954927
1201,248,117,5,884535433
1202,125,318,5,879454309
1203,138,523,5,879024043
1206,234,147,3,892335372
1208,15,331,3,879455166
1209,94,155,2,891723807
1210,136,89,4,882848925
1211,223,423,3,891550684
1214,280,845,3,891700925
1215,179,339,1,892151366
1216,178,199,4,882826306
1217,307,949,4,877123315
1219,116,331,3,876451911
1220,23,258,5,876785704
1222,185,114,4,883524320
1223,188,237,3,875073648
1224,118,654,5,875385007
1225,246,721,4,884921794
1226,234,98,4,892078567
1227,194,239,3,879522917
1228,94,24,4,885873423
1229,122,378,4,879270769
1230,312,100,4,891698613
1232,154,242,3,879138235
1233,223,763,3,891550067
1234,99,403,4,885680374
1235,83,43,4,880308690
1238,256,487,5,882164231
1239,59,177,4,888204349
1240,161,168,1,891171174
1241,244,53,3,880607489
1242,250,196,4,878091818
1244,285,150,5,890595636
1246,97,670,5,884239744
1247,122,510,4,879270327
1248,61,323,3,891206450
1250,4,264,3,892004275
1251,304,259,1,884967253
1252,37,403,5,880915942
1255,165,372,5,879525987
1256,176,324,5,886047292
1257,3,335,1,889237269
1258,56,869,3,892683895
1260,190,117,4,891033697
1261,29,189,4,882821942
1262,94,174,4,885870231
1264,117,181,5,880124648
1266,19,435,5,885412840
1267,194,191,4,879521856
1269,56,447,4,892679067
1272,214,137,4,891543227
1274,188,96,5,875073128
1276,244,154,5,880606385
1277,134,879,4,891732393
1280,230,138,3,880485197
1286,248,257,3,884535840
1288,312,133,5,891699296
1292,141,258,5,884584338
1294,186,263,3,879023571
1295,214,213,4,891544414
1296,233,208,4,880610814
1297,104,287,2,888465347
1298,312,153,2,891699491
1299,1,222,4,878873388
1300,206,323,1,888179833
1301,230,419,4,880484587
1302,56,450,3,892679374
1303,94,651,5,891725332
1304,205,316,4,888284710
1305,14,174,5,890881294
1308,83,929,3,880307140
1311,279,89,4,875306910
1312,5,424,1,875635807
1313,112,331,4,884992603
1314,296,429,5,884197330
1315,18,202,3,880130515
1320,23,463,4,874785843
1321,253,746,3,891628630
1322,234,228,3,892079190
1324,66,1,3,883601324
1326,290,208,3,880475245
1327,79,1161,2,891271697
1328,264,448,2,886122031
1329,4,303,5,892002352
1331,138,517,4,879024279
1333,5,1,4,875635748
1339,264,70,4,886123596
1340,208,197,5,883108797
1341,24,763,5,875322875
1342,279,1162,3,875314334
1343,3,245,1,889237247
1344,101,596,3,877136564
1345,162,1019,4,877636556
1346,223,908,1,891548802
1347,99,246,3,888469392
1350,172,580,4,875538028
1352,54,676,5,880935294
1355,164,930,4,889402340
1357,28,217,3,881961671
1359,18,729,3,880131236
1362,207,25,4,876079113
1365,15,222,3,879455730
1368,152,111,5,880148782
1369,194,160,2,879551380
1371,77,91,3,884752924
1372,244,662,3,880606533
1373,177,321,2,880130481
1374,131,221,3,883681561
1375,197,302,3,891409070
1376,227,50,4,879035347
1380,277,255,4,879544145
1381,279,96,4,875310606
1382,1,253,5,874965970
1383,18,182,4,880130640
1386,177,69,1,880131088
1388,125,134,5,879454532
1391,25,208,4,885852337
1392,288,272,5,889225463
1393,207,1350,2,877878772
1394,271,56,3,885848559
1395,5,363,3,875635225
1396,274,748,5,878944406
1397,70,419,5,884065035
1400,199,268,5,883782509
1402,99,274,1,885679157
1403,11,740,4,891903067
1404,59,77,4,888206254
1407,38,161,5,892432062
1408,59,418,2,888205188
1409,104,300,3,888442275
1411,180,1119,3,877128156
1413,121,14,5,891390014
1415,252,277,4,891456797
1418,234,648,3,892826760
1419,312,573,5,891712535
1421,234,1397,4,892334976
1422,75,546,3,884050422
1423,117,15,5,880125887
1424,246,239,3,884921380
1428,59,54,4,888205921
1429,256,220,3,882151690
1431,203,282,1,880434919
1434,100,268,3,891374982
1436,94,471,4,891721642
1438,125,657,3,892836422
1439,65,1142,4,879217349
1440,1,113,5,878542738
1441,76,175,4,875028853
1442,294,508,4,877819532
1444,294,930,3,889242704
1445,121,117,1,891388600
1448,212,180,1,879303974
1449,6,492,5,883601089
1451,279,746,5,875310233
1454,310,116,5,879436104
1456,314,1150,4,877887002
1460,215,164,3,891436633
1462,280,127,5,891702544
1463,161,898,3,891170191
1464,11,723,5,891904637
1465,94,218,3,891721851
1466,35,243,2,875459046
1468,48,680,3,879434330
1470,288,527,3,886373565
1474,11,38,3,891905936
1475,104,1016,1,888466002
1476,106,582,4,881451199
1478,37,117,4,880915674
1480,22,258,5,878886261
1481,70,82,4,884068075
1482,5,98,3,875720691
1485,270,778,5,876955711
1486,243,208,4,879989134
1488,81,280,4,876534214
1492,56,184,4,892679088
1493,116,250,4,876452606
1495,63,1007,5,875747368
1497,104,1010,1,888465554
1498,156,641,5,888185677
1499,269,1165,1,891446904
1501,237,191,4,879376773
1502,287,252,1,875334361
1503,290,132,3,880473993
1504,45,109,5,881012356
1507,277,1011,3,879543697
1508,65,100,3,879217558
1509,272,1101,5,879454977
1510,116,255,3,876452524
1512,285,151,5,890595636
1515,271,187,5,885848343
1516,94,211,5,891721142
1517,246,425,5,884921918
1518,115,8,5,881171982
1519,176,327,3,886047176
1521,129,331,2,883244737
1522,257,1260,2,880496892
1524,147,904,5,885594015
1528,105,268,4,889214268
1530,34,312,4,888602742
1533,94,1048,4,891722678
1535,45,118,4,881014550
1536,279,144,4,880850073
1538,71,89,5,880864462
1539,182,69,5,876435435
1540,193,627,4,889126972
1541,214,302,4,892668197
1543,102,322,3,883277645
1544,234,571,2,892318158
1546,195,328,4,884420059
1549,282,288,4,879949367
1550,117,758,2,881011217
1551,23,381,4,874787350
1552,112,327,1,884992535
1554,252,300,4,891448664
1556,282,327,5,879949417
1557,304,237,5,884968415
1558,290,568,3,880474716
1560,28,79,4,881961003
1561,168,1278,3,884287560
1562,265,471,4,875320302
1563,18,113,5,880129628
1564,83,82,5,887665423
1566,234,1186,4,892335707
1568,26,685,3,891371676
1569,150,129,4,878746946
1570,161,98,4,891171357
1571,70,210,4,884065854
1572,51,182,3,883498790
1575,204,216,4,892513864
1576,164,685,5,889402160
1577,57,682,3,883696824
1583,197,300,4,891409422
1585,294,282,3,877821796
1588,193,410,3,889127633
1589,271,705,4,885849052
1590,214,693,3,891544414
1591,73,657,5,888625422
1593,315,273,3,879821349
1594,48,309,3,879434132
1595,255,472,1,883216958
1596,270,671,4,876956360
1597,66,7,3,883601355
1598,6,478,4,883602762
1599,101,222,3,877136243
1600,207,1046,4,875509787
1603,102,625,3,883748418
1607,271,482,5,885848519
1609,178,276,3,882823978
1615,194,647,4,879521531
1616,59,387,3,888206562
1617,1,227,4,876892946
1618,116,751,3,890131577
1619,170,292,5,884103732
1622,287,347,4,888177040
1623,197,55,3,891409982
1624,38,679,5,892432062
1625,195,1014,4,879673925
1626,279,227,4,889326161
1627,84,748,4,883449530
1628,31,886,2,881547877
1629,316,98,5,880853743
1630,25,25,5,885853415
1631,168,274,4,884287865
1632,103,24,4,880415847
1634,194,478,3,879521329
1635,287,294,5,875333873
1636,234,582,4,892334883
1637,279,1048,1,886015533
1640,279,1151,2,875744584
1642,296,855,5,884197352
1645,135,39,3,879857931
1649,116,942,3,876454090
1650,318,474,4,884495742
1651,141,826,2,884585437
1652,269,13,4,891446662
1655,279,254,3,879572960
1660,177,243,1,882142141
1662,32,290,3,883717913
1667,165,288,2,879525673
1670,195,300,3,890588925
1671,118,475,5,875384793
1673,104,293,3,888465166
1675,142,82,4,888640356
1676,119,718,5,874774956
1678,99,50,5,885679998
1679,306,14,5,876503995
1681,227,295,5,879035387
1682,3,337,1,889236983
1683,94,820,1,891723186
1684,59,1107,4,888206254
1685,30,539,3,885941454
1687,6,508,3,883599530
1691,214,275,3,891542968
1696,94,346,4,891725410
1698,240,313,5,885775604
1699,102,161,2,888801876
1700,83,301,2,891181430
1702,312,28,4,891698300
1703,31,484,5,881548030
1705,56,172,5,892737191
1708,59,429,4,888204597
1709,246,1218,3,884922801
1710,65,196,5,879216637
1711,24,367,2,875323241
1715,214,1129,4,892668249
1717,269,674,2,891451754
1719,32,151,3,883717850
1721,215,423,5,891435526
1722,32,1012,4,883717581
1723,154,289,2,879138345
1726,180,68,5,877127721
1728,188,218,5,875074667
1731,73,94,1,888625754
1732,194,205,3,879524291
1733,177,203,4,880131026
1736,108,290,4,879880076
1737,189,197,5,893265291
1738,73,56,4,888626041
1739,172,462,3,875537717
1740,120,546,2,889490979
1741,101,471,3,877136535
1742,5,102,3,875721196
1743,26,235,2,891372429
1749,104,7,3,888465972
1751,256,25,5,882150552
1753,275,69,3,880314089
1754,22,510,5,878887765
1755,312,494,5,891698454
1756,207,192,3,877822350
1757,264,504,5,886122577
1758,137,687,4,881432756
1759,185,740,4,883524475
1760,307,687,1,879114143
1763,189,634,3,893265506
1765,251,148,2,886272547
1766,259,772,4,874724882
1768,312,921,5,891699295
1770,81,742,2,876533764
1772,102,448,3,888803002
1775,19,655,3,885412723
1776,79,100,5,891271652
1777,189,751,4,893265046
1778,253,510,5,891628416
1780,1,17,3,875073198
1781,214,42,5,892668130
1783,234,132,4,892333865
1784,59,148,3,888203175
1786,6,469,5,883601155
1790,195,154,3,888737525
1791,277,279,4,879543592
1792,223,8,2,891550684
1795,94,58,5,891720540
1796,217,144,4,889069782
1797,244,148,2,880605071
1800,116,1216,3,876452582
1802,117,151,4,880126373
1804,46,307,3,883611430
1805,91,28,4,891439243
1809,116,271,4,886310197
1812,196,251,3,881251274
1815,307,1022,4,879283008
1817,286,154,4,877533381
1819,235,87,4,889655162
1822,135,1208,3,879858003
1823,57,243,3,883696547
1826,250,404,4,878092144
1827,318,768,2,884498022
1828,234,808,2,892335707
1829,289,282,3,876789180
1831,50,823,3,877052784
1832,25,258,5,885853199
1833,18,496,5,880130470
1834,193,790,3,889127381
1836,209,906,2,883589546
1837,207,716,3,875508783
1838,314,535,4,877887002
1839,250,338,4,883263374
1842,94,470,4,891722006
1843,59,583,5,888205921
1844,277,282,4,879543697
1846,271,714,3,885848863
1847,269,235,3,891446756
1848,148,140,1,877019882
1849,223,977,2,891550295
1851,185,199,4,883526268
1853,235,480,4,889655044
1855,99,354,2,888469332
1861,315,13,4,879821158
1862,215,197,4,891435357
1863,269,9,4,891446246
1866,246,68,5,884922341
1867,101,405,4,877137015
1872,271,750,4,885844698
1878,279,79,3,875296461
1879,138,496,4,879024043
1880,209,251,5,883417810
1881,217,7,4,889069741
1882,261,340,5,890454045
1883,176,258,4,886047026
1885,81,169,4,876534751
1889,88,750,2,891037276
1892,9,298,5,886960055
1896,196,655,5,881251793
1897,207,1436,3,878191574
1898,256,771,2,882164999
1900,134,313,5,891732150
1903,203,148,3,880434755
1904,247,736,5,893097024
1907,251,1014,5,886272486
1908,227,411,4,879035897
1909,59,550,5,888206605
1913,286,1316,5,884583549
1914,11,725,3,891905568
1918,103,127,4,880416331
1919,11,110,3,891905324
1921,45,763,2,881013563
1927,161,162,2,891171413
1929,59,215,5,888204430
1930,177,209,4,880130736
1933,29,332,4,882820869
1934,30,435,5,885941156
1936,315,185,4,879821267
1937,23,172,4,874785889
1940,191,754,3,891560366
1941,106,778,4,881453040
1943,178,678,3,882823530
1944,84,12,5,883452874
1945,94,168,5,891721378
1946,264,33,3,886122644
1949,261,875,5,890454351
1950,190,302,5,891033606
1951,112,289,5,884992690
1953,199,258,4,883782403
1958,294,127,5,877819265
1960,103,121,3,880415766
1961,152,412,2,880149328
1963,286,231,3,877532094
1965,5,211,4,875636631
1967,6,357,4,883602422
1970,250,244,4,878089786
1971,57,760,2,883697617
1973,23,1006,3,874785809
1975,307,265,3,877122816
1977,223,411,1,891550005
1979,137,300,5,881432524
1980,164,117,5,889401816
1983,286,34,5,877534701
1984,232,197,4,888549563
1985,150,221,4,878747017
1989,1,90,4,878542300
1990,189,1005,4,893265971
1993,36,307,4,882157227
1996,248,475,5,884535446
1999,203,181,5,880434278
2001,269,47,4,891448386
2005,266,676,3,892257897
2006,197,229,3,891410039
2007,74,272,5,888333194
2008,127,294,4,884363803
2009,194,4,4,879521397
2010,177,56,5,880130618
2011,45,473,3,881014417
2012,57,28,4,883698324
2015,238,252,3,883576644
